   No. 	Th+U+Si	REE+Y+P
16	0.1234	1.7462
17	0.1523	1.6908
18	0.1836	1.6272
19	0.1838	1.628
20	0.2338	1.525
21	0.2192	1.5542
22	0.2133	1.5643
23	0.1668	1.6604
24	0.1677	1.661
25	0.2236	1.5462
26	0.2137	1.5659
27	0.154	1.6876
28	0.1903	1.6135
29	0.1271	1.7383
30	0.2432	1.5077
31	0.1267	1.7411
32	0.2291	1.5381
33	0.1393	1.7143
34	0.1982	1.5936
35	0.126	1.7407
36	0.158	1.68
37	0.1613	1.6713
38	0.1603	1.675
39	0.1273	1.7392
40	0.1283	1.7358
41	0.1052	1.78
42	0.1	1.7898
43	0.101	1.7903
44	0.1416	1.7097
45	0.1528	1.6881
46	0.1046	1.7806
47	0.1012	1.7875
48	0.1556	1.6834
49	0.1405	1.7117
50	0.146	1.7048
51	0.1298	1.7345
52	0.1436	1.7044
53	0.0997	1.7925
54	0.1003	1.7924
55	0.1006	1.7949
56	0.1274	1.7375
57	0.1573	1.6804
58	0.1948	1.6011
59	0.1334	1.723
60	0.1999	1.5942
61	0.1405	1.7115
62	0.1757	1.6422
63	0.15	1.6934
64	0.1489	1.6938
65	0.1328	1.7269
66	0.1978	1.5992
67	0.1048	1.7861
68	0.1315	1.7295
69	0.131	1.7306
70	0.1717	1.6508
71	0.1434	1.7095
72	0.1099	1.7756
73	0.1094	1.7749
74	0.1045	1.7846
75	0.1271	1.7399
76	0.0949	1.8028
77	0.2455	1.506
78	0.0984	1.7967
79	0.0894	1.8125
80	0.1264	1.7419
81	0.1321	1.7308
82	0.1432	1.7087
83	0.0941	1.8057
84	0.0744	1.8458
85	0.0745	1.8455
86	0.0812	1.8335
87	0.1009	1.7929
88	0.0572	1.8777
89	0.0554	1.8842
90	0.0866	1.8211
91	0.1202	1.7552
92	0.0961	1.7957
93	0.0965	1.7975
