No. 	XFe	Xal	Xgr	Xpr	Xsp	Xmm
4	0.860	0.763	0.065	0.124	0.048	0.0200
46	0.832	0.741	0.059	0.150	0.050	0.0568
5	0.826	0.734	0.058	0.155	0.053	0.0786
6	0.825	0.729	0.063	0.155	0.052	0.1177
7	0.818	0.718	0.069	0.160	0.052	0.1958
8	0.816	0.719	0.070	0.162	0.050	0.2526
9	0.819	0.720	0.072	0.160	0.048	0.3122
#11	0.829	0.732	0.069	0.151	0.047	0.4288
12	0.821	0.718	0.079	0.156	0.047	0.4871
13	0.827	0.720	0.083	0.151	0.046	0.5467
14	0.827	0.716	0.087	0.149	0.047	0.6055
15	0.835	0.721	0.088	0.142	0.049	0.6638
16	0.838	0.715	0.096	0.138	0.051	0.7219
17	0.847	0.720	0.094	0.130	0.056	0.7802
18	0.848	0.708	0.104	0.127	0.061	0.8400
19	0.856	0.713	0.105	0.120	0.061	0.8944
20	0.854	0.709	0.106	0.121	0.064	0.9566
21	0.852	0.704	0.108	0.122	0.065	1.0156
23	0.858	0.715	0.103	0.118	0.064	1.1378
24	0.853	0.710	0.104	0.122	0.064	1.1930
25	0.853	0.716	0.099	0.124	0.061	1.2513
27	0.850	0.716	0.096	0.126	0.062	1.3699
28	0.849	0.712	0.097	0.126	0.064	1.4291
29	0.850	0.714	0.098	0.127	0.061	1.5016
30	0.849	0.714	0.098	0.127	0.060	1.5467
31	0.844	0.714	0.094	0.132	0.060	1.6062
32	0.842	0.718	0.090	0.135	0.057	1.6650
33	0.838	0.716	0.087	0.138	0.059	1.7169
35	0.838	0.719	0.085	0.139	0.057	1.8422
36	0.828	0.714	0.082	0.148	0.056	1.9018
37	0.827	0.720	0.076	0.151	0.053	1.9612
39	0.821	0.713	0.077	0.156	0.054	2.0793
#40	0.843	0.738	0.070	0.137	0.055	2.1413
41	0.827	0.728	0.067	0.152	0.053	2.1979
42	0.830	0.737	0.062	0.151	0.050	2.2567
47	0.839	0.743	0.068	0.142	0.047	2.2919
43	0.855	0.753	0.073	0.128	0.047	2.3162
