   No. 	   SiO2  	   Al2O3 	   TiO2  	   CaO   	   Na2O  	   Cr2O3 	   FeO   	   MgO   	   MnO   	  Total  	Comment  
    1  	  50.220 	   8.230 	   0.616 	  16.190 	   1.254 	   0.163 	   6.160 	  16.600 	   0.165 	  99.599 	augit 1-1 
    2  	  49.710 	   8.120 	   0.660 	  16.190 	   1.329 	   0.192 	   6.260 	  16.570 	   0.102 	  99.133 	augit 1-2 
    3  	  49.860 	   8.200 	   0.709 	  16.130 	   1.315 	   0.140 	   6.140 	  16.580 	   0.181 	  99.254 	augit 1-3 
    4  	  49.870 	   8.200 	   0.673 	  16.040 	   1.311 	   0.150 	   6.310 	  16.440 	   0.153 	  99.147 	augit 1-4 
    5  	  49.740 	   8.250 	   0.626 	  16.140 	   1.326 	   0.150 	   6.150 	  16.480 	   0.213 	  99.074 	augit 1-5 
    6  	  49.510 	   8.290 	   0.578 	  16.100 	   1.294 	   0.146 	   6.300 	  16.540 	   0.159 	  98.918 	augit 1-6 
    7  	  49.400 	   8.160 	   0.620 	  16.000 	   1.283 	   0.183 	   6.140 	  16.370 	   0.148 	  98.304 	augit 1-7 
    8  	  49.220 	   8.170 	   0.593 	  16.120 	   1.335 	   0.127 	   6.060 	  16.470 	   0.156 	  98.251 	augit 1-8 
    9  	  49.810 	   8.280 	   0.596 	  16.180 	   1.264 	   0.149 	   6.290 	  16.380 	   0.166 	  99.115 	augit 1-9 
   10  	  49.430 	   8.200 	   0.595 	  16.130 	   1.298 	   0.161 	   6.340 	  16.350 	   0.159 	  98.663 	augit 1-10 
   11  	  49.480 	   7.950 	   0.553 	  15.750 	   1.261 	   0.116 	   6.440 	  16.540 	   0.156 	  98.246 	augit 2-1 
   12  	  49.900 	   8.050 	   0.581 	  15.960 	   1.219 	   0.129 	   6.510 	  16.530 	   0.164 	  99.044 	augit 2-2 
   13  	  49.760 	   7.960 	   0.529 	  16.000 	   1.267 	   0.140 	   6.320 	  16.570 	   0.183 	  98.729 	augit 2-3 
   14  	  50.360 	   7.950 	   0.580 	  15.920 	   1.269 	   0.184 	   6.480 	  16.560 	   0.154 	  99.457 	augit 2-4 
   15  	  49.890 	   8.020 	   0.557 	  15.890 	   1.258 	   0.205 	   6.300 	  16.660 	   0.150 	  98.931 	augit 2-5 
   16  	  50.010 	   8.060 	   0.564 	  15.700 	   1.297 	   0.153 	   6.540 	  16.580 	   0.115 	  99.018 	augit 2-6 
   17  	  49.900 	   8.060 	   0.587 	  15.780 	   1.259 	   0.157 	   6.350 	  16.650 	   0.173 	  98.916 	augit 2-7 
   18  	  50.330 	   8.010 	   0.590 	  16.070 	   1.236 	   0.148 	   6.260 	  16.560 	   0.206 	  99.410 	augit 2-8 
   19  	  50.090 	   8.040 	   0.594 	  15.940 	   1.226 	   0.152 	   6.040 	  16.490 	   0.151 	  98.723 	augit 2-9 
   20  	  50.370 	   8.030 	   0.551 	  15.970 	   1.324 	   0.141 	   6.230 	  16.690 	   0.116 	  99.422 	augit 2-10 
   21  	  50.070 	   8.230 	   0.609 	  16.250 	   1.255 	   0.186 	   6.190 	  16.390 	   0.171 	  99.352 	augit 3-1 
   22  	  49.980 	   8.420 	   0.621 	  15.960 	   1.298 	   0.155 	   6.130 	  16.250 	   0.151 	  98.965 	augit 3-2 
   23  	  49.470 	   8.280 	   0.600 	  16.070 	   1.247 	   0.167 	   6.350 	  16.450 	   0.133 	  98.767 	augit 3-3 
   24  	  50.010 	   8.300 	   0.602 	  16.090 	   1.268 	   0.170 	   6.250 	  16.390 	   0.153 	  99.233 	augit 3-4 
   25  	  49.670 	   8.310 	   0.629 	  15.990 	   1.263 	   0.150 	   6.040 	  16.210 	   0.160 	  98.421 	augit 3-5 
   26  	  50.010 	   8.420 	   0.598 	  16.090 	   1.254 	   0.175 	   6.140 	  16.530 	   0.195 	  99.412 	augit 3-6 
   27  	  50.180 	   8.350 	   0.585 	  16.120 	   1.278 	   0.171 	   6.220 	  16.270 	   0.179 	  99.353 	augit 3-7 
   28  	  49.470 	   8.340 	   0.595 	  16.050 	   1.284 	   0.127 	   6.190 	  16.350 	   0.176 	  98.583 	augit 3-8 
   29  	  49.850 	   8.320 	   0.580 	  15.940 	   1.257 	   0.193 	   6.200 	  16.430 	   0.137 	  98.907 	augit 3-9 
   30  	  50.420 	   8.310 	   0.616 	  16.110 	   1.268 	   0.151 	   6.270 	  16.350 	   0.169 	  99.664 	augit 3-10 
   31  	  39.160 	  21.640 	   0.253 	  14.500 	   0.145 	   0.011 	  16.060 	   6.630 	   0.734 	  99.133 	gtrv2 -1 
   32  	  39.410 	  21.600 	   0.271 	  14.580 	   0.116 	   0.020 	  16.230 	   6.610 	   0.725 	  99.562 	gtrv2 -2 
   33  	  39.440 	  22.010 	   0.263 	  14.470 	   0.140 	   0.000 	  16.260 	   6.750 	   0.785 	 100.118 	gtrv2 -3 
   34  	  50.350 	   8.220 	   0.594 	  16.210 	   1.272 	   0.195 	   6.050 	  16.390 	   0.166 	  99.447 	augit 1-2 -1 
